id_venda,id_cliente,nome_cliente,cidade,estado,id_produto,produto,categoria,data,quantidade,preco_unitario
41,105,Pedro Lima,Ourinhos,SP,203,Herbicida Glifosato,Defensivos,2024-02-14,29,780.0
42,104,Ana Martins,Umuarama,PR,203,Herbicida Glifosato,Defensivos,2024-11-13,11,780.0
43,108,Fernanda Alves,Curitiba,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-04-29,4,120.5
44,107,Lucas Rocha,Curitiba,PR,205,Calcário Agrícola,Corretivos,2024-01-05,12,45.0
45,116,Tatiane Lopes,Ourinhos,SP,207,Inseticida Sistêmico,Defensivos,2024-09-20,26,680.0
46,116,Tatiane Lopes,Dourados,MS,208,Adubo MAP,Fertilizantes,2024-04-22,36,210.0
47,115,Eduardo Rangel,Piracicaba,SP,205,Calcário Agrícola,Corretivos,2024-10-04,19,45.0
48,118,Aline Moreira,Toledo,PR,204,Fungicida Triazol,Defensivos,2024-09-02,14,950.0
49,121,Felipe Guedes,Goioerê,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-08-15,36,120.5
50,113,Renato Farias,Cascavel,PR,206,Sementes de Soja,Sementes,2024-11-11,10,420.0
51,103,Carlos Pereira,Cuiabá,MT,201,Adubo NPK 20-05-20,Fertilizantes,2024-05-16,40,120.5
52,113,Renato Farias,Maringá,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-07-11,35,120.5
53,108,Fernanda Alves,Rondonópolis,MT,207,Inseticida Sistêmico,Defensivos,2024-07-03,16,680.0
54,125,André Ribeiro,Londrina,PR,203,Herbicida Glifosato,Defensivos,2024-08-08,34,780.0
55,110,Juliana Pires,Assis Chateaubriand,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-04-26,20,120.5
56,110,Juliana Pires,Londrina,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-12-13,22,120.5
57,114,Camila Barros,Toledo,PR,202,Sementes de Milho,Sementes,2024-11-15,28,350.0
58,104,Ana Martins,Goioerê,PR,206,Sementes de Soja,Sementes,2024-06-30,33,420.0
59,103,Carlos Pereira,Uberlândia,MG,205,Calcário Agrícola,Corretivos,2024-12-24,13,45.0
60,108,Fernanda Alves,Campo Grande,MS,204,Fungicida Triazol,Defensivos,2024-10-24,11,950.0
61,102,Maria Souza,Assis Chateaubriand,PR,203,Herbicida Glifosato,Defensivos,2024-05-22,35,780.0
62,104,Ana Martins,Assis Chateaubriand,PR,203,Herbicida Glifosato,Defensivos,2024-01-28,30,780.0
63,123,Rodrigo Mello,Presidente Prudente,SP,206,Sementes de Soja,Sementes,2024-05-15,20,420.0
64,111,Bruno Teixeira,Rondonópolis,MT,205,Calcário Agrícola,Corretivos,2024-06-15,39,45.0
65,106,Rafael Costa,Campo Grande,MS,204,Fungicida Triazol,Defensivos,2024-08-24,32,950.0
66,124,Vanessa Pacheco,Maringá,PR,203,Herbicida Glifosato,Defensivos,2024-08-06,28,780.0
67,117,Gustavo Azevedo,Maringá,PR,206,Sementes de Soja,Sementes,2024-03-19,11,420.0
68,113,Renato Farias,Piracicaba,SP,203,Herbicida Glifosato,Defensivos,2024-09-12,28,780.0
69,102,Maria Souza,Rondonópolis,MT,201,Adubo NPK 20-05-20,Fertilizantes,2024-12-03,26,120.5
70,112,Patrícia Nogueira,Uberlândia,MG,207,Inseticida Sistêmico,Defensivos,2024-08-01,15,680.0
71,103,Carlos Pereira,Toledo,PR,204,Fungicida Triazol,Defensivos,2024-09-25,39,950.0
72,114,Camila Barros,Uberlândia,MG,201,Adubo NPK 20-05-20,Fertilizantes,2024-11-06,30,120.5
73,105,Pedro Lima,Cuiabá,MT,207,Inseticida Sistêmico,Defensivos,2024-11-08,36,680.0
74,108,Fernanda Alves,Assis Chateaubriand,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-01-13,24,120.5
75,112,Patrícia Nogueira,Curitiba,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-12-10,34,120.5
76,122,Simone Araújo,Goioerê,PR,206,Sementes de Soja,Sementes,2024-04-03,15,420.0
77,102,Maria Souza,Patos de Minas,MG,203,Herbicida Glifosato,Defensivos,2024-03-04,13,780.0
78,106,Rafael Costa,Cascavel,PR,204,Fungicida Triazol,Defensivos,2024-08-22,7,950.0
79,123,Rodrigo Mello,Ribeirão Preto,SP,203,Herbicida Glifosato,Defensivos,2024-04-27,38,780.0
80,122,Simone Araújo,Assis Chateaubriand,PR,208,Adubo MAP,Fertilizantes,2024-04-29,29,210.0
81,116,Tatiane Lopes,Ourinhos,SP,204,Fungicida Triazol,Defensivos,2024-04-01,25,950.0
82,112,Patrícia Nogueira,Goioerê,PR,205,Calcário Agrícola,Corretivos,2024-11-29,8,45.0
83,108,Fernanda Alves,Presidente Prudente,SP,202,Sementes de Milho,Sementes,2024-03-27,34,350.0
84,116,Tatiane Lopes,Ribeirão Preto,SP,205,Calcário Agrícola,Corretivos,2024-08-07,9,45.0
85,119,Diego Fonseca,Curitiba,PR,208,Adubo MAP,Fertilizantes,2024-10-02,32,210.0
86,125,André Ribeiro,Dourados,MS,208,Adubo MAP,Fertilizantes,2024-01-02,36,210.0
87,112,Patrícia Nogueira,Curitiba,PR,208,Adubo MAP,Fertilizantes,2024-12-16,16,210.0
88,111,Bruno Teixeira,Rondonópolis,MT,203,Herbicida Glifosato,Defensivos,2024-06-05,21,780.0
89,111,Bruno Teixeira,Curitiba,PR,206,Sementes de Soja,Sementes,2024-08-18,35,420.0
90,113,Renato Farias,Presidente Prudente,SP,203,Herbicida Glifosato,Defensivos,2024-12-16,19,780.0
91,110,Juliana Pires,Curitiba,PR,208,Adubo MAP,Fertilizantes,2024-06-20,40,210.0
92,109,Marcos Vinícius,Goioerê,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-04-25,36,120.5
93,112,Patrícia Nogueira,Londrina,PR,202,Sementes de Milho,Sementes,2024-12-17,28,350.0
94,109,Marcos Vinícius,Cuiabá,MT,204,Fungicida Triazol,Defensivos,2024-03-24,32,950.0
95,116,Tatiane Lopes,Toledo,PR,204,Fungicida Triazol,Defensivos,2024-09-15,13,950.0
96,116,Tatiane Lopes,Rondonópolis,MT,202,Sementes de Milho,Sementes,2024-10-05,14,350.0
97,104,Ana Martins,Toledo,PR,208,Adubo MAP,Fertilizantes,2024-12-21,25,210.0
98,118,Aline Moreira,Campo Grande,MS,205,Calcário Agrícola,Corretivos,2024-10-14,11,45.0
99,108,Fernanda Alves,Dourados,MS,203,Herbicida Glifosato,Defensivos,2024-05-25,40,780.0
100,125,André Ribeiro,Presidente Prudente,SP,203,Herbicida Glifosato,Defensivos,2024-11-30,9,780.0
101,121,Felipe Guedes,Piracicaba,SP,208,Adubo MAP,Fertilizantes,2024-10-17,30,210.0
102,118,Aline Moreira,Toledo,PR,202,Sementes de Milho,Sementes,2024-10-15,14,350.0
103,118,Aline Moreira,Cuiabá,MT,206,Sementes de Soja,Sementes,2024-07-04,18,420.0
104,115,Eduardo Rangel,Londrina,PR,203,Herbicida Glifosato,Defensivos,2024-08-08,31,780.0
105,103,Carlos Pereira,Maringá,PR,204,Fungicida Triazol,Defensivos,2024-06-16,38,950.0
106,111,Bruno Teixeira,Goioerê,PR,206,Sementes de Soja,Sementes,2024-03-05,1,420.0
107,102,Maria Souza,Jataí,GO,201,Adubo NPK 20-05-20,Fertilizantes,2024-08-18,7,120.5
108,121,Felipe Guedes,Maringá,PR,204,Fungicida Triazol,Defensivos,2024-02-21,37,950.0
109,111,Bruno Teixeira,Curitiba,PR,204,Fungicida Triazol,Defensivos,2024-03-21,37,950.0
110,125,André Ribeiro,Assis Chateaubriand,PR,202,Sementes de Milho,Sementes,2024-04-21,13,350.0
111,115,Eduardo Rangel,Presidente Prudente,SP,201,Adubo NPK 20-05-20,Fertilizantes,2024-09-03,30,120.5
112,114,Camila Barros,Jataí,GO,206,Sementes de Soja,Sementes,2024-01-17,4,420.0
113,110,Juliana Pires,Toledo,PR,208,Adubo MAP,Fertilizantes,2024-07-26,8,210.0
114,114,Camila Barros,Cuiabá,MT,205,Calcário Agrícola,Corretivos,2024-08-02,30,45.0
115,112,Patrícia Nogueira,Ribeirão Preto,SP,203,Herbicida Glifosato,Defensivos,2024-10-19,10,780.0
116,118,Aline Moreira,Cascavel,PR,208,Adubo MAP,Fertilizantes,2024-12-23,19,210.0
117,120,Larissa Cunha,Cuiabá,MT,204,Fungicida Triazol,Defensivos,2024-02-22,2,950.0
118,118,Aline Moreira,Londrina,PR,204,Fungicida Triazol,Defensivos,2024-12-04,38,950.0
119,115,Eduardo Rangel,Londrina,PR,204,Fungicida Triazol,Defensivos,2024-04-14,31,950.0
120,116,Tatiane Lopes,Curitiba,PR,206,Sementes de Soja,Sementes,2024-08-16,28,420.0
121,117,Gustavo Azevedo,Ourinhos,SP,201,Adubo NPK 20-05-20,Fertilizantes,2024-05-31,23,120.5
122,116,Tatiane Lopes,Ourinhos,SP,208,Adubo MAP,Fertilizantes,2024-08-19,39,210.0
123,116,Tatiane Lopes,Piracicaba,SP,208,Adubo MAP,Fertilizantes,2024-11-24,29,210.0
124,116,Tatiane Lopes,Rio Verde,GO,206,Sementes de Soja,Sementes,2024-07-02,35,420.0
125,105,Pedro Lima,Uberlândia,MG,206,Sementes de Soja,Sementes,2024-06-02,26,420.0
126,121,Felipe Guedes,Presidente Prudente,SP,204,Fungicida Triazol,Defensivos,2024-09-03,27,950.0
127,110,Juliana Pires,Rondonópolis,MT,206,Sementes de Soja,Sementes,2024-12-27,29,420.0
128,114,Camila Barros,Piracicaba,SP,206,Sementes de Soja,Sementes,2024-12-13,15,420.0
129,103,Carlos Pereira,Ourinhos,SP,204,Fungicida Triazol,Defensivos,2024-06-10,7,950.0
130,119,Diego Fonseca,Rondonópolis,MT,208,Adubo MAP,Fertilizantes,2024-12-25,23,210.0
131,110,Juliana Pires,Uberlândia,MG,207,Inseticida Sistêmico,Defensivos,2024-11-26,7,680.0
132,103,Carlos Pereira,Dourados,MS,202,Sementes de Milho,Sementes,2024-08-16,8,350.0
133,115,Eduardo Rangel,Rondonópolis,MT,207,Inseticida Sistêmico,Defensivos,2024-06-13,1,680.0
134,120,Larissa Cunha,Uberlândia,MG,206,Sementes de Soja,Sementes,2024-08-28,34,420.0
135,116,Tatiane Lopes,Ourinhos,SP,203,Herbicida Glifosato,Defensivos,2024-02-18,22,780.0
136,106,Rafael Costa,Toledo,PR,203,Herbicida Glifosato,Defensivos,2024-06-12,24,780.0
137,110,Juliana Pires,Curitiba,PR,203,Herbicida Glifosato,Defensivos,2024-05-24,32,780.0
138,113,Renato Farias,Ourinhos,SP,202,Sementes de Milho,Sementes,2024-07-14,26,350.0
139,109,Marcos Vinícius,Campo Grande,MS,201,Adubo NPK 20-05-20,Fertilizantes,2024-03-15,37,120.5
140,105,Pedro Lima,Curitiba,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-11-16,16,120.5
141,113,Renato Farias,Rio Verde,GO,203,Herbicida Glifosato,Defensivos,2024-01-11,39,780.0
142,107,Lucas Rocha,Rio Verde,GO,203,Herbicida Glifosato,Defensivos,2024-04-23,33,780.0
143,125,André Ribeiro,Ourinhos,SP,205,Calcário Agrícola,Corretivos,2024-04-24,16,45.0
144,106,Rafael Costa,Uberlândia,MG,203,Herbicida Glifosato,Defensivos,2024-08-26,8,780.0
145,116,Tatiane Lopes,Dourados,MS,206,Sementes de Soja,Sementes,2024-07-09,31,420.0
146,122,Simone Araújo,Uberlândia,MG,205,Calcário Agrícola,Corretivos,2024-11-11,38,45.0
147,113,Renato Farias,Ourinhos,SP,205,Calcário Agrícola,Corretivos,2024-05-16,35,45.0
148,108,Fernanda Alves,Cuiabá,MT,205,Calcário Agrícola,Corretivos,2024-05-15,26,45.0
149,115,Eduardo Rangel,Dourados,MS,204,Fungicida Triazol,Defensivos,2024-05-31,27,950.0
150,116,Tatiane Lopes,Assis Chateaubriand,PR,207,Inseticida Sistêmico,Defensivos,2024-08-27,35,680.0
151,112,Patrícia Nogueira,Patos de Minas,MG,204,Fungicida Triazol,Defensivos,2024-08-05,11,950.0
152,101,João Silva,Campo Grande,MS,204,Fungicida Triazol,Defensivos,2024-02-18,8,950.0
153,105,Pedro Lima,Maringá,PR,208,Adubo MAP,Fertilizantes,2024-12-26,23,210.0
154,120,Larissa Cunha,Campo Grande,MS,207,Inseticida Sistêmico,Defensivos,2024-07-11,39,680.0
155,108,Fernanda Alves,Rio Verde,GO,204,Fungicida Triazol,Defensivos,2024-12-11,37,950.0
156,106,Rafael Costa,Ourinhos,SP,205,Calcário Agrícola,Corretivos,2024-01-14,21,45.0
157,105,Pedro Lima,Ribeirão Preto,SP,206,Sementes de Soja,Sementes,2024-12-26,15,420.0
158,117,Gustavo Azevedo,Patos de Minas,MG,208,Adubo MAP,Fertilizantes,2024-05-11,17,210.0
159,106,Rafael Costa,Jataí,GO,206,Sementes de Soja,Sementes,2024-08-12,40,420.0
160,116,Tatiane Lopes,Piracicaba,SP,202,Sementes de Milho,Sementes,2024-07-26,7,350.0
161,116,Tatiane Lopes,Jataí,GO,206,Sementes de Soja,Sementes,2024-11-29,15,420.0
162,114,Camila Barros,Rio Verde,GO,201,Adubo NPK 20-05-20,Fertilizantes,2024-08-23,11,120.5
163,115,Eduardo Rangel,Goioerê,PR,203,Herbicida Glifosato,Defensivos,2024-03-28,2,780.0
164,116,Tatiane Lopes,Toledo,PR,206,Sementes de Soja,Sementes,2024-12-05,28,420.0
165,114,Camila Barros,Jataí,GO,205,Calcário Agrícola,Corretivos,2024-08-18,36,45.0
166,125,André Ribeiro,Piracicaba,SP,201,Adubo NPK 20-05-20,Fertilizantes,2024-06-17,16,120.5
167,108,Fernanda Alves,Patos de Minas,MG,204,Fungicida Triazol,Defensivos,2024-06-17,21,950.0
168,109,Marcos Vinícius,Dourados,MS,202,Sementes de Milho,Sementes,2024-11-09,2,350.0
169,101,João Silva,Ourinhos,SP,206,Sementes de Soja,Sementes,2024-10-07,35,420.0
170,118,Aline Moreira,Campo Grande,MS,202,Sementes de Milho,Sementes,2024-02-12,10,350.0
171,117,Gustavo Azevedo,Rondonópolis,MT,204,Fungicida Triazol,Defensivos,2024-11-02,5,950.0
172,107,Lucas Rocha,Presidente Prudente,SP,205,Calcário Agrícola,Corretivos,2024-02-02,12,45.0
173,123,Rodrigo Mello,Cuiabá,MT,206,Sementes de Soja,Sementes,2024-07-17,28,420.0
174,111,Bruno Teixeira,Ourinhos,SP,206,Sementes de Soja,Sementes,2024-11-07,40,420.0
175,109,Marcos Vinícius,Maringá,PR,206,Sementes de Soja,Sementes,2024-08-09,7,420.0
176,121,Felipe Guedes,Londrina,PR,203,Herbicida Glifosato,Defensivos,2024-01-22,39,780.0
177,104,Ana Martins,Cascavel,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-01-12,4,120.5
178,121,Felipe Guedes,Londrina,PR,204,Fungicida Triazol,Defensivos,2024-01-14,19,950.0
179,115,Eduardo Rangel,Presidente Prudente,SP,204,Fungicida Triazol,Defensivos,2024-03-12,27,950.0
180,124,Vanessa Pacheco,Rondonópolis,MT,203,Herbicida Glifosato,Defensivos,2024-02-13,33,780.0
181,109,Marcos Vinícius,Maringá,PR,203,Herbicida Glifosato,Defensivos,2024-09-13,24,780.0
182,118,Aline Moreira,Umuarama,PR,206,Sementes de Soja,Sementes,2024-04-23,18,420.0
183,110,Juliana Pires,Dourados,MS,202,Sementes de Milho,Sementes,2024-06-30,22,350.0
184,115,Eduardo Rangel,Piracicaba,SP,206,Sementes de Soja,Sementes,2024-04-23,24,420.0
185,104,Ana Martins,Jataí,GO,204,Fungicida Triazol,Defensivos,2024-07-13,34,950.0
186,112,Patrícia Nogueira,Rondonópolis,MT,208,Adubo MAP,Fertilizantes,2024-08-10,14,210.0
187,120,Larissa Cunha,Patos de Minas,MG,201,Adubo NPK 20-05-20,Fertilizantes,2024-06-23,36,120.5
188,116,Tatiane Lopes,Londrina,PR,203,Herbicida Glifosato,Defensivos,2024-01-03,10,780.0
189,101,João Silva,Cascavel,PR,207,Inseticida Sistêmico,Defensivos,2024-12-31,18,680.0
190,122,Simone Araújo,Cuiabá,MT,206,Sementes de Soja,Sementes,2024-09-02,4,420.0
191,120,Larissa Cunha,Cuiabá,MT,207,Inseticida Sistêmico,Defensivos,2024-04-21,25,680.0
192,112,Patrícia Nogueira,Campo Grande,MS,204,Fungicida Triazol,Defensivos,2024-12-17,38,950.0
193,111,Bruno Teixeira,Presidente Prudente,SP,203,Herbicida Glifosato,Defensivos,2024-05-21,4,780.0
194,115,Eduardo Rangel,Maringá,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-11-28,38,120.5
195,119,Diego Fonseca,Ribeirão Preto,SP,205,Calcário Agrícola,Corretivos,2024-08-20,10,45.0
196,102,Maria Souza,Presidente Prudente,SP,203,Herbicida Glifosato,Defensivos,2024-12-01,1,780.0
197,119,Diego Fonseca,Cuiabá,MT,207,Inseticida Sistêmico,Defensivos,2024-09-04,9,680.0
198,106,Rafael Costa,Dourados,MS,203,Herbicida Glifosato,Defensivos,2024-08-06,13,780.0
199,115,Eduardo Rangel,Umuarama,PR,208,Adubo MAP,Fertilizantes,2024-05-22,39,210.0
200,108,Fernanda Alves,Dourados,MS,205,Calcário Agrícola,Corretivos,2024-02-01,15,45.0
201,107,Lucas Rocha,Cuiabá,MT,207,Inseticida Sistêmico,Defensivos,2024-09-18,13,680.0
202,120,Larissa Cunha,Maringá,PR,202,Sementes de Milho,Sementes,2024-10-11,17,350.0
203,114,Camila Barros,Uberlândia,MG,201,Adubo NPK 20-05-20,Fertilizantes,2024-11-09,34,120.5
204,107,Lucas Rocha,Patos de Minas,MG,207,Inseticida Sistêmico,Defensivos,2024-01-17,34,680.0
205,124,Vanessa Pacheco,Toledo,PR,204,Fungicida Triazol,Defensivos,2024-08-02,29,950.0
206,106,Rafael Costa,Maringá,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-11-04,26,120.5
207,117,Gustavo Azevedo,Rondonópolis,MT,207,Inseticida Sistêmico,Defensivos,2024-02-03,39,680.0
208,117,Gustavo Azevedo,Dourados,MS,204,Fungicida Triazol,Defensivos,2024-12-25,35,950.0
209,108,Fernanda Alves,Assis Chateaubriand,PR,202,Sementes de Milho,Sementes,2024-01-08,23,350.0
210,114,Camila Barros,Campo Grande,MS,203,Herbicida Glifosato,Defensivos,2024-08-28,35,780.0
211,115,Eduardo Rangel,Uberlândia,MG,205,Calcário Agrícola,Corretivos,2024-02-29,34,45.0
212,111,Bruno Teixeira,Jataí,GO,203,Herbicida Glifosato,Defensivos,2024-10-30,19,780.0
213,104,Ana Martins,Cascavel,PR,204,Fungicida Triazol,Defensivos,2024-06-21,11,950.0
214,124,Vanessa Pacheco,Patos de Minas,MG,205,Calcário Agrícola,Corretivos,2024-08-18,33,45.0
215,119,Diego Fonseca,Dourados,MS,207,Inseticida Sistêmico,Defensivos,2024-09-23,11,680.0
216,101,João Silva,Cuiabá,MT,207,Inseticida Sistêmico,Defensivos,2024-03-12,27,680.0
217,123,Rodrigo Mello,Cuiabá,MT,201,Adubo NPK 20-05-20,Fertilizantes,2024-11-19,12,120.5
218,101,João Silva,Patos de Minas,MG,203,Herbicida Glifosato,Defensivos,2024-08-30,29,780.0
219,114,Camila Barros,Ourinhos,SP,203,Herbicida Glifosato,Defensivos,2024-12-01,30,780.0
220,121,Felipe Guedes,Rondonópolis,MT,206,Sementes de Soja,Sementes,2024-07-03,32,420.0
221,107,Lucas Rocha,Rio Verde,GO,201,Adubo NPK 20-05-20,Fertilizantes,2024-06-20,23,120.5
222,107,Lucas Rocha,Maringá,PR,207,Inseticida Sistêmico,Defensivos,2024-01-12,5,680.0
223,115,Eduardo Rangel,Rondonópolis,MT,206,Sementes de Soja,Sementes,2024-11-27,36,420.0
224,101,João Silva,Goioerê,PR,203,Herbicida Glifosato,Defensivos,2024-06-17,28,780.0
225,107,Lucas Rocha,Cascavel,PR,207,Inseticida Sistêmico,Defensivos,2024-09-08,13,680.0
226,108,Fernanda Alves,Piracicaba,SP,208,Adubo MAP,Fertilizantes,2024-12-10,19,210.0
227,101,João Silva,Ourinhos,SP,206,Sementes de Soja,Sementes,2024-11-03,30,420.0
228,117,Gustavo Azevedo,Londrina,PR,207,Inseticida Sistêmico,Defensivos,2024-11-05,16,680.0
229,107,Lucas Rocha,Londrina,PR,205,Calcário Agrícola,Corretivos,2024-04-05,11,45.0
230,121,Felipe Guedes,Rio Verde,GO,206,Sementes de Soja,Sementes,2024-04-26,17,420.0
231,122,Simone Araújo,Patos de Minas,MG,205,Calcário Agrícola,Corretivos,2024-06-20,23,45.0
232,116,Tatiane Lopes,Presidente Prudente,SP,202,Sementes de Milho,Sementes,2024-05-01,34,350.0
233,112,Patrícia Nogueira,Ourinhos,SP,201,Adubo NPK 20-05-20,Fertilizantes,2024-05-28,13,120.5
234,111,Bruno Teixeira,Toledo,PR,202,Sementes de Milho,Sementes,2024-07-01,31,350.0
235,112,Patrícia Nogueira,Maringá,PR,203,Herbicida Glifosato,Defensivos,2024-11-05,10,780.0
236,113,Renato Farias,Toledo,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-12-28,26,120.5
237,124,Vanessa Pacheco,Londrina,PR,205,Calcário Agrícola,Corretivos,2024-11-28,17,45.0
238,114,Camila Barros,Cascavel,PR,205,Calcário Agrícola,Corretivos,2024-03-26,12,45.0
239,114,Camila Barros,Cascavel,PR,202,Sementes de Milho,Sementes,2024-07-31,37,350.0
240,102,Maria Souza,Assis Chateaubriand,PR,207,Inseticida Sistêmico,Defensivos,2024-10-18,6,680.0
241,108,Fernanda Alves,Jataí,GO,203,Herbicida Glifosato,Defensivos,2024-01-08,27,780.0
242,106,Rafael Costa,Ourinhos,SP,203,Herbicida Glifosato,Defensivos,2024-10-01,33,780.0
243,105,Pedro Lima,Piracicaba,SP,207,Inseticida Sistêmico,Defensivos,2024-06-19,35,680.0
244,120,Larissa Cunha,Toledo,PR,206,Sementes de Soja,Sementes,2024-10-18,2,420.0
245,103,Carlos Pereira,Maringá,PR,201,Adubo NPK 20-05-20,Fertilizantes,2024-02-03,9,120.5
246,120,Larissa Cunha,Goioerê,PR,206,Sementes de Soja,Sementes,2024-12-18,38,420.0
247,105,Pedro Lima,Presidente Prudente,SP,206,Sementes de Soja,Sementes,2024-02-21,25,420.0
248,109,Marcos Vinícius,Cuiabá,MT,203,Herbicida Glifosato,Defensivos,2024-01-03,10,780.0
249,117,Gustavo Azevedo,Ribeirão Preto,SP,203,Herbicida Glifosato,Defensivos,2024-11-13,23,780.0
250,112,Patrícia Nogueira,Assis Chateaubriand,PR,204,Fungicida Triazol,Defensivos,2024-11-27,38,950.0
251,107,Lucas Rocha,Toledo,PR,208,Adubo MAP,Fertilizantes,2024-09-01,34,210.0
252,112,Patrícia Nogueira,Maringá,PR,205,Calcário Agrícola,Corretivos,2024-02-01,18,45.0
253,106,Rafael Costa,Piracicaba,SP,207,Inseticida Sistêmico,Defensivos,2024-02-28,17,680.0
254,118,Aline Moreira,Jataí,GO,208,Adubo MAP,Fertilizantes,2024-07-17,13,210.0
255,108,Fernanda Alves,Londrina,PR,204,Fungicida Triazol,Defensivos,2024-02-13,13,950.0
